Date : 2025-11-09 10:18:39
Directory : e:\Code\java\account_book_app\accountbook
Total : 233 files,  11120 codes, 1827 comments, 1507 blanks, all 14454 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        219 |     10,906 |      1,812 |      1,465 |     14,183 |
| Markdown        |         11 |        166 |          0 |         36 |        202 |
| XML             |          1 |         40 |          7 |          6 |         53 |
| Java Properties |          2 |          8 |          8 |          0 |         16 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\bill\SearchBillService.java                    | Java            |        105 |         10 |         13 |        128 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\bill\StatisticBillService.java                 | Java            |         14 |          1 |          5 |         20 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\bill\VisualService.java                        | Java            |         12 |          1 |          4 |         17 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\budget\AddBudgetService.java                   | Java            |         23 |          3 |          7 |         33 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\budget\ChangeBudgetService.java                | Java            |         24 |          1 |          7 |         32 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\budget\DeleteBudgetService.java                | Java            |         20 |          1 |          5 |         26 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\budget\SearchBudgetService.java                | Java            |         80 |         22 |         13 |        115 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\category\AddCategoryService.java               | Java            |         29 |          8 |          9 |         46 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\category\ChangeCategoryService.java            | Java            |         24 |          9 |         10 |         43 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\category\DeleteCategoryService.java            | Java            |         26 |          7 |          7 |         40 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\category\SearchCategoryService.java            | Java            |         65 |         25 |         15 |        105 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\specific_type\AddSpecificTypeService.java      | Java            |         27 |         10 |         10 |         47 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\specific_type\ChangeSpecificTypeService.java   | Java            |         24 |          9 |         10 |         43 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\specific_type\DeleteSpecificTypeService.java   | Java            |         23 |         10 |          9 |         42 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\specific_type\SearchSpecificTypeService.java   | Java            |         70 |         25 |         15 |        110 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\dao\BaseDAO.java                                    | Java            |        172 |         71 |         40 |        283 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\dao\BillDAO.java                                    | Java            |         16 |         21 |          7 |         44 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\dao\BudgetDAO.java                                  | Java            |         17 |          5 |          4 |         26 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\dao\CategoryDAO.java                                | Java            |         14 |         49 |         10 |         73 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\dao\SpecificTypeDAO.java                            | Java            |         15 |         53 |         11 |         79 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\dao\factory\DAOFactory.java                         | Java            |         27 |          1 |          7 |         35 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\dao\impl\BillDAOImpl.java                           | Java            |        162 |         87 |         30 |        279 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\dao\impl\BudgetDAOImpl.java                         | Java            |        134 |          4 |         19 |        157 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\dao\impl\CategoryDAOImpl.java                       | Java            |        116 |          0 |         23 |        139 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\dao\impl\SpecificTypeDAOImpl.java                   | Java            |        133 |         46 |         27 |        206 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\db\DBInitializer.java                               | Java            |         63 |          6 |          9 |         78 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\db\DBSql.java                                       | Java            |        162 |         34 |         39 |        235 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\db\DBUtil.java                                      | Java            |         38 |          9 |          9 |         56 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\entity\Bill.java                                    | Java            |         89 |          6 |         25 |        120 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\entity\Budget.java                                  | Java            |         38 |         10 |          6 |         54 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\entity\Category.java                                | Java            |         14 |          2 |          4 |         20 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\storage\entity\SpecificType.java                            | Java            |         18 |          2 |          4 |         24 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\MainPage.java                                              | Java            |        191 |         33 |         45 |        269 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\component\PageDrawer.java                                  | Java            |          5 |          7 |          2 |         14 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\component\Refreshable.java                                 | Java            |          4 |          1 |          1 |          6 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\component\dialog\BillEditDialog.java                       | Java            |        163 |          8 |         29 |        200 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\component\page\BudgetPage.java                             | Java            |         19 |          2 |          6 |         27 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\component\page\HomePage.java                               | Java            |        318 |         21 |         65 |        404 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\component\page\RecordPage.java                             | Java            |        406 |         32 |         68 |        506 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\component\page\SearchPage.java                             | Java            |         19 |          2 |          5 |         26 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\component\page\SettingPage.java                            | Java            |         19 |          2 |          5 |         26 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\component\page\StatisticsPage.java                         | Java            |         19 |          2 |          5 |         26 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\component\page\VisualPage.java                             | Java            |         19 |          2 |          5 |         26 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\component\panel\BillTableComponent.java                    | Java            |        283 |         19 |         41 |        343 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\frontend\component\panel\LeftNavigationPanel.java                   | Java            |        129 |          3 |         25 |        157 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\BackendResponse.java                                          | Java            |         31 |         30 |         12 |         73 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\FrontendRequest.java                                          | Java            |         46 |         12 |         11 |         69 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\README.md                                                     | Markdown        |          4 |          0 |          1 |          5 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\ServiceProxy.java                                             | Java            |         81 |         28 |         12 |        121 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\common\ProxyHandler.java                                      | Java            |         44 |         12 |         12 |         68 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\common\README.md                                              | Markdown        |          2 |          0 |          0 |          2 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\helper\BaseRequestHelper.java                                 | Java            |         36 |         14 |          7 |         57 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\helper\README.md                                              | Markdown        |          2 |          0 |          0 |          2 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\helper\factory\RequestHelperFactory.java                      | Java            |         60 |         37 |         11 |        108 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\helper\impl\BillRequestHelper.java                            | Java            |        126 |         41 |         26 |        193 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\helper\impl\BudgetRequestHelper.java                          | Java            |        116 |         38 |         23 |        177 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\helper\impl\CategoryRequestHelper.java                        | Java            |         92 |         44 |         25 |        161 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\helper\impl\SpecificTypeRequestHelper.java                    | Java            |        104 |         42 |         26 |        172 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\request\README.md                                             | Markdown        |          2 |          0 |          0 |          2 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\request\bill\BillAddParams.java                               | Java            |         45 |          7 |          7 |         59 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\request\bill\BillChangeParams.java                            | Java            |         55 |         26 |          7 |         88 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\request\bill\BillDeleteParams.java                            | Java            |          9 |          2 |          4 |         15 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\request\bill\BillSearchParams.java                            | Java            |         93 |         39 |         16 |        148 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\request\budget\BudgetAddParams.java                           | Java            |         30 |          8 |          6 |         44 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\request\budget\BudgetChangeParams.java                        | Java            |         39 |         24 |          7 |         70 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\request\budget\BudgetDeleteParams.java                        | Java            |         13 |          9 |          4 |         26 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\request\budget\BudgetSearchParams.java                        | Java            |         75 |         34 |         19 |        128 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\proxy\request\category\CategoryAddParams.java                       | Java            |         18 |          5 |          6 |         29 |
